品番,商品名_JA,catalog_pages,catalog_info,catalog_usage,catalog_features,catalog_size_material,catalog_evidence,issue_flags
0786-10,シュリンクチューブ,カタログP.77,シュリンクチューブ / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / 入数: 1m×3本 / φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本 1.50㎜ １m×３本 2.50㎜ １m×３本 3.50㎜ １m× / サイズです Dシリーズ （販 売 用,保護・補修・滑り止め加工,熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。,入数: 1m×3本 / φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本 1.50㎜ １m×３本 2.50㎜ １m×３本 3.50㎜ １m× / サイズです Dシリーズ （販 売 用,カタログ参照=カタログP.77 ; PDF抽出メモ=No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本 1.50㎜ １m×３本 2.50㎜ １m×３本 3.50㎜ １m×３本 ※写真はおおよそ原寸サイズです Dシリーズ （販 売 用 ; 画像=0786-10_1.jpg,printed_pages_normalized
0787-04,シュリンクチューブ(4mm),カタログP.77,シュリンクチューブ(4mm) / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / ●チューブタイプ（素材：PE） 240N1725 φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 / φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.07 / サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05,保護・補修・滑り止め加工,熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / ●チューブタイプ（素材：PE） 240N1725 φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05,φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.07 / サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05,カタログ参照=カタログP.77 ; PDF抽出メモ=●チューブタイプ（素材：PE） 240N1725 φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 ; 画像=0787-04_1.jpg,printed_pages_normalized
0787-05,シュリンクチューブ(5mm),カタログP.77,シュリンクチューブ(5mm) / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 / φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.07 / サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04,保護・補修・滑り止め加工,熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04,φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.07 / サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04,カタログ参照=カタログP.77 ; PDF抽出メモ=φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 ; 画像=0787-05_1.jpg,printed_pages_normalized
0787-08,シュリンクチューブ(8mm),カタログP.77,シュリンクチューブ(8mm) / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 / サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05,保護・補修・滑り止め加工,熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05,サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05,カタログ参照=カタログP.77 ; PDF抽出メモ=長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 ; 画像=0787-08_1.jpg,printed_pages_normalized
0819-00,(-)バネ丁番ネジW1.4×3.0,カタログP.57,(-)バネ丁番ネジW1.4×3.0 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 10本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 10本,カタログ参照=カタログP.57 ; PDF抽出メモ=バネ丁番用 カスタマイズ 各種1袋 240N299 Parts 眼鏡部品 ⊖バネ丁番ネジG･W No.0819-00 単位㎜ No.0819-01 No.0819-02 バネ丁番ネジ W 1.4×3.0×2.0 バネ丁番ネジ W 1.4×3.5×2.0 バネ丁番ネジ W 1.4×4.5×2.0 10本 10本 10本 ; 画像=0819-00_1.jpg,printed_pages_normalized
0819-00A,(-)バネ丁番ネジW(100本入),,(-)バネ丁番ネジW(100本入) / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 100本,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0819-01,(-)バネ丁番ネジW1.4×3.5,カタログP.57,(-)バネ丁番ネジW1.4×3.5 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 10本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 10本,カタログ参照=カタログP.57 ; PDF抽出メモ=各種1袋 240N299 Parts 眼鏡部品 ⊖バネ丁番ネジG･W No.0819-00 単位㎜ No.0819-01 No.0819-02 バネ丁番ネジ W 1.4×3.0×2.0 バネ丁番ネジ W 1.4×3.5×2.0 バネ丁番ネジ W 1.4×4.5×2.0 10本 10本 10本 バネ丁番ネジ G 1.4×3.0×2.0 バネ丁番ネジ G 1.4×3.5×2.0 ; 画像=0819-01_1.jpg,printed_pages_normalized
0819-01A,(-)バネ丁番ネジW(100本入),,(-)バネ丁番ネジW(100本入) / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 100本,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0819-02,(-)バネ丁番ネジW1.4×4.5,カタログP.57,(-)バネ丁番ネジW1.4×4.5 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 10本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 10本,カタログ参照=カタログP.57 ; PDF抽出メモ=Parts 眼鏡部品 ⊖バネ丁番ネジG･W No.0819-00 単位㎜ No.0819-01 No.0819-02 バネ丁番ネジ W 1.4×3.0×2.0 バネ丁番ネジ W 1.4×3.5×2.0 バネ丁番ネジ W 1.4×4.5×2.0 10本 10本 10本 バネ丁番ネジ G 1.4×3.0×2.0 バネ丁番ネジ G 1.4×3.5×2.0 バネ丁番ネジ G 1.4×4.5×2.0 ; 画像=0819-02_1.jpg,printed_pages_normalized
0819-02A,(-)バネ丁番ネジW(100本入),,(-)バネ丁番ネジW(100本入) / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 100本,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
0819-10,(-)バネ丁番ネジG1.4×3.0,カタログP.57,(-)バネ丁番ネジG1.4×3.0 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 10本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 10本,カタログ参照=カタログP.57 ; PDF抽出メモ=バネ丁番ネジ G 1.4×3.5×2.0 バネ丁番ネジ G 1.4×4.5×2.0 10本 10本 10本 No.0819-10 No.0819-11 1袋 240N299 Parts バネ丁番パーツ No.772-518 No.772-519 No.772-520 No.772-521 No.772-522 No.773-523 ; 画像=0819-10_1.jpg,printed_pages_normalized
0819-10A,(-)バネ丁番ネジG(100本入),,(-)バネ丁番ネジG(100本入) / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,固定,修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。,入数: 100本,,no_catalog_evidence | no_catalog_page|printed_pages_normalized
